Connector ID,Name,Description
connector0,"Door 1 Reader +","Reader positive 12VDC output"
connector1,"Door 1 Reader -","Reader negative / ground"
connector2,"Door 1 Reader 0","Wiegand Data 0 or OSDP B"
connector3,"Door 1 Reader 1","Wiegand Data 1 or OSDP A"
connector4,"Door 1 Reader L","Reader LED trigger output"
connector5,"Door 1 Input A","Door position switch input or assignable Input A"
connector6,"Door 1 Input B","Request-to-exit input or assignable Input B"
connector7,"Door 1 Input -","Input ground / common"
connector8,"Door 1 Relay NC","Form-C relay normally closed contact"
connector9,"Door 1 Relay C","Form-C relay common contact"
connector10,"Door 1 Relay NO","Form-C relay normally open contact"
connector11,"Door 2 Reader +","Reader positive 12VDC output"
connector12,"Door 2 Reader -","Reader negative / ground"
connector13,"Door 2 Reader 0","Wiegand Data 0 or OSDP B"
connector14,"Door 2 Reader 1","Wiegand Data 1 or OSDP A"
connector15,"Door 2 Reader L","Reader LED trigger output"
connector16,"Door 2 Input A","Door position switch input or assignable Input A"
connector17,"Door 2 Input B","Request-to-exit input or assignable Input B"
connector18,"Door 2 Input -","Input ground / common"
connector19,"Door 2 Relay NC","Form-C relay normally closed contact"
connector20,"Door 2 Relay C","Form-C relay common contact"
connector21,"Door 2 Relay NO","Form-C relay normally open contact"
connector22,"Door 1 Relay Jumper +","Door 1 relay wet/dry jumper terminal +"
connector23,"Door 1 Relay Jumper BUS","Door 1 relay wet/dry jumper terminal BUS"
connector24,"Door 1 Relay Jumper -","Door 1 relay wet/dry jumper terminal -"
connector25,"Door 2 Relay Jumper +","Door 2 relay wet/dry jumper terminal +"
connector26,"Door 2 Relay Jumper BUS","Door 2 relay wet/dry jumper terminal BUS"
connector27,"Door 2 Relay Jumper -","Door 2 relay wet/dry jumper terminal -"
connector28,"Door 1 OSDP Jumper Pin 1","Door 1 OSDP multidrop jumper pin 1"
connector29,"Door 1 OSDP Jumper Pin 2","Door 1 OSDP multidrop jumper pin 2"
connector30,"Door 2 OSDP Jumper Pin 1","Door 2 OSDP multidrop jumper pin 1"
connector31,"Door 2 OSDP Jumper Pin 2","Door 2 OSDP multidrop jumper pin 2"
connector32,"Controller Power +","Controller power input, positive 12 to 24 VDC"
connector33,"Controller Power GND","Controller power input, negative / ground"
connector34,"Battery Pin 1","Keyed battery connector pin 1; verify polarity against current PDK documentation and factory lead"
connector35,"Battery Pin 2","Keyed battery connector pin 2; verify polarity against current PDK documentation and factory lead"
